worker_id = gw1
2023-03-14 10:24:12.857017.   VIDEO_BANNER =>
2023-03-14 10:24:12.872298.   => VIDEO_BANNER IS PRESENT
2023-03-14 10:24:13.288960   'Sign up' form is opened
2023-03-14 10:24:13.289000   SIGNUP_HEADER =>
2023-03-14 10:24:13.305057   SIGNUP_REF_LOGIN =>
2023-03-14 10:24:13.336503   SIGNUP_INPUT_EMAIL =>
2023-03-14 10:24:13.378697   SIGNUP_INPUT_PASSWORD =>
2023-03-14 10:24:13.411223   SIGNUP_SUBMIT_BTN =>
2023-03-14 10:24:13.445296   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 10:24:13.505800   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 10:24:13.619240.   'Sign up' form is closed
