worker_id = gw1
2023-03-14 11:07:19.822240.   VIDEO_BANNER =>
2023-03-14 11:07:19.852180.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:07:20.157417   'Sign up' form is opened
2023-03-14 11:07:20.157474   SIGNUP_HEADER =>
2023-03-14 11:07:20.192208   SIGNUP_REF_LOGIN =>
2023-03-14 11:07:20.216533   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:07:20.249119   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:07:20.277854   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:07:20.304333   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:07:20.331245   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:07:20.469459.   'Sign up' form is closed
