worker_id = gw1
2023-03-14 11:13:28.748427.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:13:28.763021.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:13:29.308428   'Sign up' form is opened
2023-03-14 11:13:29.308488   SIGNUP_HEADER =>
2023-03-14 11:13:29.357287   SIGNUP_REF_LOGIN =>
2023-03-14 11:13:29.390698   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:13:29.417454   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:13:29.440711   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:13:29.481340   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:13:29.506224   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:13:29.707139.   'Sign up' form is closed
