worker_id = gw0
2023-03-14 11:20:13.354205.   VIDEO_BANNER =>
2023-03-14 11:20:13.371110.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:20:13.848796   'Sign up' form is opened
2023-03-14 11:20:13.848851   SIGNUP_HEADER =>
2023-03-14 11:20:13.873360   SIGNUP_REF_LOGIN =>
2023-03-14 11:20:13.897576   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:20:13.974199   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:20:14.037612   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:20:14.069243   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:20:14.096805   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:20:14.253383.   'Sign up' form is closed
