worker_id = gw0
2023-03-14 11:17:12.780622.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:17:12.844858.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:17:13.624956   'Sign up' form is opened
2023-03-14 11:17:13.625026   SIGNUP_HEADER =>
2023-03-14 11:17:13.656131   SIGNUP_REF_LOGIN =>
2023-03-14 11:17:13.742876   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:17:13.847667   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:17:13.975362   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:17:14.017507   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:17:14.057000   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:17:14.262425.   'Sign up' form is closed
