worker_id = gw0
2023-03-14 11:27:07.938007.   VIDEO_BANNER =>
2023-03-14 11:27:07.951446.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:27:09.871243   'Sign up' form is opened
2023-03-14 11:27:09.871301   SIGNUP_HEADER =>
2023-03-14 11:27:09.939166   SIGNUP_REF_LOGIN =>
2023-03-14 11:27:10.039811   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:27:10.089834   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:27:10.122046   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:27:10.171637   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:27:10.202951   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:27:10.399884.   'Sign up' form is closed
