worker_id = gw1
2023-03-14 10:53:05.736650.   VIDEO_BANNER =>
2023-03-14 10:53:05.763109.   => VIDEO_BANNER IS PRESENT
2023-03-14 10:53:06.050533   'Sign up' form is opened
2023-03-14 10:53:06.050593   SIGNUP_HEADER =>
2023-03-14 10:53:06.081604   SIGNUP_REF_LOGIN =>
2023-03-14 10:53:06.106466   SIGNUP_INPUT_EMAIL =>
2023-03-14 10:53:06.133497   SIGNUP_INPUT_PASSWORD =>
2023-03-14 10:53:06.161091   SIGNUP_SUBMIT_BTN =>
2023-03-14 10:53:06.181068   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 10:53:06.207855   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 10:53:06.381336.   'Sign up' form is closed
