worker_id = gw0
2023-03-14 11:17:42.836682.   VIDEO_BANNER =>
2023-03-14 11:17:42.889755.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:17:43.473571   'Sign up' form is opened
2023-03-14 11:17:43.473634   SIGNUP_HEADER =>
2023-03-14 11:17:43.577942   SIGNUP_REF_LOGIN =>
2023-03-14 11:17:43.620327   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:17:43.709500   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:17:43.737645   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:17:43.838619   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:17:43.871573   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:17:44.048861.   'Sign up' form is closed
