worker_id = gw1
2023-03-14 11:09:05.642244.   VIDEO_BANNER =>
2023-03-14 11:09:05.672379.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:09:06.108589   'Sign up' form is opened
2023-03-14 11:09:06.108649   SIGNUP_HEADER =>
2023-03-14 11:09:06.143077   SIGNUP_REF_LOGIN =>
2023-03-14 11:09:06.193123   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:09:06.236908   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:09:06.292534   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:09:06.372667   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:09:06.412087   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:09:06.555600.   'Sign up' form is closed
