worker_id = gw1
2023-03-14 11:03:55.843280.   VIDEO_BANNER =>
2023-03-14 11:03:55.902670.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:03:56.321758   'Sign up' form is opened
2023-03-14 11:03:56.321816   SIGNUP_HEADER =>
2023-03-14 11:03:56.364002   SIGNUP_REF_LOGIN =>
2023-03-14 11:03:56.390297   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:03:56.429179   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:03:56.544144   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:03:56.592515   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:03:56.654415   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:03:56.920486.   'Sign up' form is closed
