worker_id = gw1
2023-03-14 11:31:51.536142.   BUT_CREATE_YOUR_ACCOUNT =>
2023-03-14 11:31:53.010916.   => BUT_CREATE_YOUR_ACCOUNT IS PRESENT
1 checking element(s) with current CSS locator is(are) present(s) on this page
2023-03-14 11:32:01.611854   'Sign up' form is opened
2023-03-14 11:32:01.611914   SIGNUP_HEADER =>
2023-03-14 11:32:01.677184   SIGNUP_REF_LOGIN =>
2023-03-14 11:32:01.729224   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:32:01.780927   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:32:01.857010   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:32:01.934188   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:32:02.029697   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:32:02.345751.   'Sign up' form is closed
