worker_id = gw1
2023-03-14 10:53:55.534780.   VIDEO_BANNER =>
2023-03-14 10:53:55.620044.   => VIDEO_BANNER IS PRESENT
2023-03-14 10:53:56.230506   'Sign up' form is opened
2023-03-14 10:53:56.230565   SIGNUP_HEADER =>
2023-03-14 10:53:56.421351   SIGNUP_REF_LOGIN =>
2023-03-14 10:53:56.479618   SIGNUP_INPUT_EMAIL =>
2023-03-14 10:53:56.529033   SIGNUP_INPUT_PASSWORD =>
2023-03-14 10:53:56.573542   SIGNUP_SUBMIT_BTN =>
2023-03-14 10:53:56.602981   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 10:53:56.708332   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 10:53:56.864812.   'Sign up' form is closed
