worker_id = gw0
2023-03-14 11:19:08.359826.   VIDEO_BANNER =>
2023-03-14 11:19:08.398355.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:19:09.549369   'Sign up' form is opened
2023-03-14 11:19:09.549427   SIGNUP_HEADER =>
2023-03-14 11:19:09.605498   SIGNUP_REF_LOGIN =>
2023-03-14 11:19:09.663997   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:19:09.707596   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:19:09.791979   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:19:09.827310   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:19:09.859394   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:19:10.040281.   'Sign up' form is closed
