worker_id = gw1
2023-03-14 11:07:40.735240.   VIDEO_BANNER =>
2023-03-14 11:07:40.818886.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:07:41.397537   'Sign up' form is opened
2023-03-14 11:07:41.397610   SIGNUP_HEADER =>
2023-03-14 11:07:41.469267   SIGNUP_REF_LOGIN =>
2023-03-14 11:07:41.540885   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:07:41.583392   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:07:41.621649   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:07:41.651126   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:07:41.687101   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:07:41.852931.   'Sign up' form is closed
