worker_id = gw0
2023-03-14 10:53:57.037297.   VIDEO_BANNER =>
2023-03-14 10:53:57.069620.   => VIDEO_BANNER IS PRESENT
2023-03-14 10:53:57.712485   'Sign up' form is opened
2023-03-14 10:53:57.712542   SIGNUP_HEADER =>
2023-03-14 10:53:57.799797   SIGNUP_REF_LOGIN =>
2023-03-14 10:53:57.849134   SIGNUP_INPUT_EMAIL =>
2023-03-14 10:53:57.880023   SIGNUP_INPUT_PASSWORD =>
2023-03-14 10:53:57.960943   SIGNUP_SUBMIT_BTN =>
2023-03-14 10:53:58.032370   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 10:53:58.069847   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 10:53:58.210778.   'Sign up' form is closed
