worker_id = gw0
2023-03-14 10:52:09.650402.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 10:52:09.674783.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 10:52:10.047505   'Sign up' form is opened
2023-03-14 10:52:10.047566   SIGNUP_HEADER =>
2023-03-14 10:52:10.104172   SIGNUP_REF_LOGIN =>
2023-03-14 10:52:10.188510   SIGNUP_INPUT_EMAIL =>
2023-03-14 10:52:10.251881   SIGNUP_INPUT_PASSWORD =>
2023-03-14 10:52:10.294555   SIGNUP_SUBMIT_BTN =>
2023-03-14 10:52:10.345468   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 10:52:10.379661   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 10:52:10.580362.   'Sign up' form is closed
