worker_id = gw1
2023-03-14 11:03:38.715232.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:03:38.726854.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:03:39.244776   'Sign up' form is opened
2023-03-14 11:03:39.244835   SIGNUP_HEADER =>
2023-03-14 11:03:39.372268   SIGNUP_REF_LOGIN =>
2023-03-14 11:03:39.398649   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:03:39.429147   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:03:39.497573   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:03:39.542750   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:03:39.647646   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:03:39.813784.   'Sign up' form is closed
