worker_id = gw0
2023-03-14 11:25:55.192214.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:25:55.225556.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:25:56.183828   'Sign up' form is opened
2023-03-14 11:25:56.183899   SIGNUP_HEADER =>
2023-03-14 11:25:56.321370   SIGNUP_REF_LOGIN =>
2023-03-14 11:25:56.375182   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:25:56.425729   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:25:56.455832   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:25:56.492531   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:25:56.518587   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:25:56.762401.   'Sign up' form is closed
