worker_id = gw0
2023-03-14 11:02:23.248627.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:02:23.275670.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:02:23.754586   'Sign up' form is opened
2023-03-14 11:02:23.754642   SIGNUP_HEADER =>
2023-03-14 11:02:23.818443   SIGNUP_REF_LOGIN =>
2023-03-14 11:02:23.857014   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:02:23.933460   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:02:24.018810   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:02:24.045595   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:02:24.078034   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:02:24.298091.   'Sign up' form is closed
