worker_id = gw0
2023-03-14 11:30:17.305237.   VIDEO_BANNER =>
2023-03-14 11:30:17.353756.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:30:18.507868   'Sign up' form is opened
2023-03-14 11:30:18.507919   SIGNUP_HEADER =>
2023-03-14 11:30:18.583385   SIGNUP_REF_LOGIN =>
2023-03-14 11:30:18.704342   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:30:18.748271   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:30:18.780439   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:30:18.827823   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:30:18.871574   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:30:19.266219.   'Sign up' form is closed
