worker_id = gw1
2023-03-14 11:14:11.491028.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:14:11.513785.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:14:12.260234   'Sign up' form is opened
2023-03-14 11:14:12.260291   SIGNUP_HEADER =>
2023-03-14 11:14:12.334081   SIGNUP_REF_LOGIN =>
2023-03-14 11:14:12.380605   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:14:12.434635   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:14:12.491546   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:14:12.534792   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:14:12.569789   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:14:12.743525.   'Sign up' form is closed
