worker_id = gw0
2023-03-14 10:57:38.106496.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 10:57:38.126364.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 10:57:38.717849   'Sign up' form is opened
2023-03-14 10:57:38.717904   SIGNUP_HEADER =>
2023-03-14 10:57:38.819371   SIGNUP_REF_LOGIN =>
2023-03-14 10:57:38.845154   SIGNUP_INPUT_EMAIL =>
2023-03-14 10:57:38.978176   SIGNUP_INPUT_PASSWORD =>
2023-03-14 10:57:39.018852   SIGNUP_SUBMIT_BTN =>
2023-03-14 10:57:39.058791   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 10:57:39.088414   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 10:57:39.385002.   'Sign up' form is closed
