worker_id = gw1
2023-03-14 11:00:31.100920.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:00:31.132591.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:00:32.095933   'Sign up' form is opened
2023-03-14 11:00:32.095991   SIGNUP_HEADER =>
2023-03-14 11:00:32.131527   SIGNUP_REF_LOGIN =>
2023-03-14 11:00:32.253794   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:00:32.305647   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:00:32.370050   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:00:32.453863   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:00:32.529758   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:00:33.035160.   'Sign up' form is closed
