"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_08 | Widget [Trading instrument]","TC_08.04 | Widget [Trading instrument] tab [Cryptocurrencies] button [Trade]","0","0","3","8","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_08 | Widget [Trading instrument]","TC_08.06 | Widget [Trading instrument] tab [Forex] button [Trade]","0","0","7","4","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_08 | Widget [Trading instrument]","TC_08.01 | Widget [Trading instrument] tab [Most traded] button [Trade]","0","0","5","6","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_02 | Testing header","TC_02.01 | Testing 'Trade Now' button on the header","0","1","6","6","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_08 | Widget [Trading instrument]","TC_08.05 | Widget [Trading instrument] tab [Shares] button [Trade]","0","0","5","6","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_14 | Testing 'Trading calculator' widget","TC_14.01 | Testing 'Start trading' button on the 'Trading calculator' widget","0","0","6","6","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_08 | Widget [Trading instrument]","TC_08.03 | Widget [Trading instrument] tab [Indices] button [Trade]","0","0","7","4","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_11 | Testing 'Explore our platform' widget","TC_11.01 | Testing 'Try now' button on the 'Explore our platform' widget","0","0","2","9","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_03 | Testing '1' tab 'Main' banner. Only for 'En' language","TC_03.01 | Testing 'Trade Now' button on the 1 tab 'Main' banner","0","0","0","13","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_01 | Testing header","TC_01.01 | Testing 'Log In' button on the header","0","0","6","7","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_05 | Testing '3' tab 'Main' banner. Only for 'En' language","TC_05.01 | Testing 'Learn more' button on the 3 tab (1 layout) 'Main' banner","0","0","0","11","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_08 | Widget [Trading instrument]","TC_08.02 | Widget [Trading instrument] tab [Commodities] button [Trade]","0","0","6","5","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_07 | Testing 'Why Capital.com?' banner. Not for 'En' language","TC_07.01 | Testing 'Jetzt traden' button on the 'Warum Capital.com?' banner","0","0","6","5","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_10 | Testing 'Promo Market' widget","TC_10.01 | Testing 'Trade Now' button on the 'Promo Market' widget","0","0","6","5","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_05 | Testing '3' tab 'Main' banner. Only for 'En' language","TC_05.05 | Testing 'Explore features' button on the 3 tab (2 layout) 'Main' banner","0","0","3","8","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_05 | Testing '3' tab 'Main' banner. Only for 'En' language","TC_05.04 | Testing 'Practise for free' button on the 3 tab (2 layout) 'Main' banner","0","0","4","7","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_15 | Testing 'Trader's Dashboard' widget","TC_15.01 | Testing 'Trade' button on the 'Trader's Dashboard' widget","0","1","5","6","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_04 | Testing '2' tab 'Main' banner. Only for 'En' language","TC_04.03 | Testing 'Practise for free' button on the 2 tab 'Main' banner","0","0","0","11","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_03 | Testing '1' tab 'Main' banner. Only for 'En' language","TC_03.02 | Testing 'Practise for free' button on the 1 tab 'Main' banner","0","0","1","12","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_05 | Testing '3' tab 'Main' banner. Only for 'En' language","TC_05.03 | Testing 'Start trading' button on the 3 tab (2 layout) 'Main' banner","0","0","0","11","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_06 | Testing '4' tab 'Main' banner. Only for 'En' language","TC_06.01 | Testing 'Explore features' button on the 4 tab 'Main' banner","0","6","0","5","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_03 | Testing '1' tab 'Main' banner. Only for 'En' language","TC_03.03 | Testing 'Open account' button on the 1 tab 'Main' banner","0","0","0","13","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_03 | Testing '1' tab 'Main' banner. Only for 'En' language","TC_03.04 | Testing 'Start trading' button on the 1 tab 'Main' banner","0","0","0","13","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_04 | Testing '2' tab 'Main' banner. Only for 'En' language","TC_04.01 | Testing 'Take me there' button on the 2 tab 'Main' banner","0","0","0","12","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_13 | Testing 'New to trading?' widget","TC_12.01 | Testing 'Practise for free' button on the 'New To Trading?' banner","0","0","7","4","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_13 | Testing 'New to trading?' widget","TC_13.01 | Testing 'Practise for free' button on the 'Explore our platform' widget","0","0","7","4","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_12 | Testing 'New To Trading?' banner","TC_12.01 | Testing 'Practise for free' button on the 'New To Trading?' banner","0","0","7","4","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_12 | Testing 'New To Trading?' banner","TC_13.01 | Testing 'Practise for free' button on the 'Explore our platform' widget","0","0","7","4","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_16 | Testing 'Counters' banner","TC_16.01 | Testing 'Try now' button on the 'Counters' banner","0","0","5","7","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_09 | Testing 'Still looking for ...' widget","TC_09.01 | Testing 'Create your account' button on the 'Still looking for ...' widget","0","0","5","5","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_04 | Testing '2' tab 'Main' banner. Only for 'En' language","TC_04.02 | Testing 'Start trading' button on the 2 tab 'Main' banner","0","0","0","11","0"
"US_01 | Testing registration and autorization web elements on the main page capital.com","TS_05 | Testing '3' tab 'Main' banner. Only for 'En' language","TC_05.02 | Testing 'Start trading' button on the 3 tab (1 layout) 'Main' banner","0","0","0","11","0"
