worker_id = gw1
2023-03-14 12:37:25.564596.   VIDEO_BANNER =>
2023-03-14 12:37:25.615410.   => VIDEO_BANNER IS PRESENT
2023-03-14 12:37:26.635906   'Sign up' form is opened
2023-03-14 12:37:26.635977   SIGNUP_HEADER =>
2023-03-14 12:37:26.687202   SIGNUP_REF_LOGIN =>
2023-03-14 12:37:26.721844   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:37:26.756873   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:37:26.802486   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:37:26.836934   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:37:26.874591   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:37:27.066584.   'Sign up' form is closed
