worker_id = gw0
2023-03-14 12:24:58.893497.   BUT_CREATE_YOUR_ACCOUNT =>
2023-03-14 12:24:58.911370.   => BUT_CREATE_YOUR_ACCOUNT IS PRESENT
1 checking element(s) with current CSS locator is(are) present(s) on this page
2023-03-14 12:25:00.610589   'Sign up' form is opened
2023-03-14 12:25:00.610648   SIGNUP_HEADER =>
2023-03-14 12:25:00.793772   SIGNUP_REF_LOGIN =>
2023-03-14 12:25:00.898511   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:25:01.033299   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:25:01.296999   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:25:01.344168   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:25:01.411308   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:25:01.697216.   'Sign up' form is closed
