worker_id = gw1
2023-03-14 12:11:38.603595.   VIDEO_BANNER =>
2023-03-14 12:11:38.645956.   => VIDEO_BANNER IS PRESENT
2023-03-14 12:11:39.194062   'Sign up' form is opened
2023-03-14 12:11:39.194125   SIGNUP_HEADER =>
2023-03-14 12:11:39.313485   SIGNUP_REF_LOGIN =>
2023-03-14 12:11:39.362416   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:11:39.387375   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:11:39.424962   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:11:39.453038   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:11:39.476460   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:11:39.633539.   'Sign up' form is closed
