worker_id = gw0
2023-03-14 12:39:55.546918.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:39:55.588472.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:39:56.213487   'Sign up' form is opened
2023-03-14 12:39:56.213550   SIGNUP_HEADER =>
2023-03-14 12:39:56.246517   SIGNUP_REF_LOGIN =>
2023-03-14 12:39:56.280106   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:39:56.328501   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:39:56.353953   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:39:56.380732   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:39:56.416080   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:39:56.600000.   'Sign up' form is closed
