worker_id = gw0
2023-03-14 12:39:30.449847.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:39:30.466707.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:39:30.913206   'Sign up' form is opened
2023-03-14 12:39:30.913263   SIGNUP_HEADER =>
2023-03-14 12:39:31.028395   SIGNUP_REF_LOGIN =>
2023-03-14 12:39:31.077800   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:39:31.198504   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:39:31.227228   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:39:31.253277   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:39:31.285271   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:39:31.467088.   'Sign up' form is closed
