worker_id = gw1
2023-03-14 12:34:11.476478.   VIDEO_BANNER =>
2023-03-14 12:34:11.513749.   => VIDEO_BANNER IS PRESENT
2023-03-14 12:34:12.274020   'Sign up' form is opened
2023-03-14 12:34:12.274101   SIGNUP_HEADER =>
2023-03-14 12:34:12.333963   SIGNUP_REF_LOGIN =>
2023-03-14 12:34:12.391729   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:34:12.437898   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:34:12.515408   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:34:12.553654   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:34:12.592920   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:34:12.734103.   'Sign up' form is closed
