worker_id = gw1
2023-03-14 12:19:53.213974.   VIDEO_BANNER =>
2023-03-14 12:19:53.246426.   => VIDEO_BANNER IS PRESENT
2023-03-14 12:19:55.018362   'Sign up' form is opened
2023-03-14 12:19:55.018418   SIGNUP_HEADER =>
2023-03-14 12:19:55.939021   SIGNUP_REF_LOGIN =>
2023-03-14 12:19:56.355744   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:19:56.456283   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:19:56.476717   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:19:56.495338   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:19:56.517264   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:19:56.677103.   'Sign up' form is closed
