worker_id = gw0
2023-03-14 12:24:33.604378.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:24:33.668767.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:24:34.249908   'Sign up' form is opened
2023-03-14 12:24:34.249967   SIGNUP_HEADER =>
2023-03-14 12:24:34.341314   SIGNUP_REF_LOGIN =>
2023-03-14 12:24:34.422065   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:24:34.454440   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:24:34.488479   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:24:34.507605   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:24:34.544328   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:24:34.790663.   'Sign up' form is closed
