worker_id = gw1
2023-03-14 12:15:15.557400.   BUT_CREATE_YOUR_ACCOUNT =>
2023-03-14 12:15:15.571163.   => BUT_CREATE_YOUR_ACCOUNT IS PRESENT
1 checking element(s) with current CSS locator is(are) present(s) on this page
2023-03-14 12:15:16.018292   'Sign up' form is opened
2023-03-14 12:15:16.018357   SIGNUP_HEADER =>
2023-03-14 12:15:16.100791   SIGNUP_REF_LOGIN =>
2023-03-14 12:15:16.236196   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:15:16.266761   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:15:16.302115   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:15:16.331194   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:15:16.361545   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:15:16.532503.   'Sign up' form is closed
