worker_id = gw1
2023-03-14 12:29:00.872193.   VIDEO_BANNER =>
2023-03-14 12:29:00.904282.   => VIDEO_BANNER IS PRESENT
2023-03-14 12:29:01.581076   'Sign up' form is opened
2023-03-14 12:29:01.581158   SIGNUP_HEADER =>
2023-03-14 12:29:01.666937   SIGNUP_REF_LOGIN =>
2023-03-14 12:29:01.810103   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:29:01.895464   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:29:01.973118   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:29:02.056379   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:29:02.129462   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:29:02.394331.   'Sign up' form is closed
