worker_id = gw0
2023-03-14 12:05:41.635879.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:05:41.658566.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:05:42.225439   'Sign up' form is opened
2023-03-14 12:05:42.225509   SIGNUP_HEADER =>
2023-03-14 12:05:42.272481   SIGNUP_REF_LOGIN =>
2023-03-14 12:05:42.332134   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:05:42.364143   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:05:42.394691   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:05:42.448184   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:05:42.485261   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:05:42.605213.   'Sign up' form is closed
