worker_id = gw1
2023-03-14 12:21:51.156934.   BUT_CREATE_YOUR_ACCOUNT =>
2023-03-14 12:21:51.170971.   => BUT_CREATE_YOUR_ACCOUNT IS PRESENT
1 checking element(s) with current CSS locator is(are) present(s) on this page
2023-03-14 12:21:51.555270   'Sign up' form is opened
2023-03-14 12:21:51.555328   SIGNUP_HEADER =>
2023-03-14 12:21:51.596245   SIGNUP_REF_LOGIN =>
2023-03-14 12:21:51.631128   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:21:51.671709   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:21:51.717849   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:21:51.751135   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:21:51.769397   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:21:51.945149.   'Sign up' form is closed
