worker_id = gw0
2023-03-14 12:40:13.858711.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:40:13.867043.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:40:14.426655   'Sign up' form is opened
2023-03-14 12:40:14.426714   SIGNUP_HEADER =>
2023-03-14 12:40:14.459527   SIGNUP_REF_LOGIN =>
2023-03-14 12:40:14.504389   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:40:14.546479   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:40:14.641052   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:40:14.672426   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:40:14.702330   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:40:14.951772.   'Sign up' form is closed
