worker_id = gw1
2023-03-14 12:43:50.903843.   VIDEO_BANNER =>
2023-03-14 12:43:50.938313.   => VIDEO_BANNER IS PRESENT
2023-03-14 12:43:51.885736   'Sign up' form is opened
2023-03-14 12:43:51.885792   SIGNUP_HEADER =>
2023-03-14 12:43:51.967897   SIGNUP_REF_LOGIN =>
2023-03-14 12:43:52.055218   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:43:52.093822   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:43:52.133736   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:43:52.166839   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:43:52.218948   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:43:52.505115.   'Sign up' form is closed
