worker_id = gw1
2023-03-14 12:21:24.356412.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:21:24.377705.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:21:25.194697   'Sign up' form is opened
2023-03-14 12:21:25.194755   SIGNUP_HEADER =>
2023-03-14 12:21:25.243170   SIGNUP_REF_LOGIN =>
2023-03-14 12:21:25.271733   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:21:25.293569   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:21:25.314363   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:21:25.347200   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:21:25.378077   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:21:25.529604.   'Sign up' form is closed
