worker_id = gw0
2023-03-14 12:28:25.462461.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:28:25.503445.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:28:26.076543   'Sign up' form is opened
2023-03-14 12:28:26.076609   SIGNUP_HEADER =>
2023-03-14 12:28:26.124600   SIGNUP_REF_LOGIN =>
2023-03-14 12:28:26.194522   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:28:26.276524   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:28:26.308699   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:28:26.340334   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:28:26.373081   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:28:26.530590.   'Sign up' form is closed
