worker_id = gw1
2023-03-14 12:22:02.435334.   VIDEO_BANNER =>
2023-03-14 12:22:02.444983.   => VIDEO_BANNER IS PRESENT
2023-03-14 12:22:03.316489   'Sign up' form is opened
2023-03-14 12:22:03.316558   SIGNUP_HEADER =>
2023-03-14 12:22:03.351745   SIGNUP_REF_LOGIN =>
2023-03-14 12:22:03.377401   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:22:03.407972   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:22:03.434463   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:22:03.486098   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:22:03.514446   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:22:03.661680.   'Sign up' form is closed
