worker_id = gw0
2023-03-14 12:05:58.748742.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:05:58.778085.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:05:59.816510   'Sign up' form is opened
2023-03-14 12:05:59.816568   SIGNUP_HEADER =>
2023-03-14 12:05:59.923436   SIGNUP_REF_LOGIN =>
2023-03-14 12:05:59.968317   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:06:00.023181   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:06:00.050581   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:06:00.098152   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:06:00.231092   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:06:00.383114.   'Sign up' form is closed
