worker_id = gw0
2023-03-14 13:26:22.037033.   VIDEO_BANNER =>
2023-03-14 13:26:22.072855.   => VIDEO_BANNER IS PRESENT
2023-03-14 13:26:22.307801   'Sign up' form is opened
2023-03-14 13:26:22.307847   SIGNUP_HEADER =>
2023-03-14 13:26:22.350332   SIGNUP_REF_LOGIN =>
2023-03-14 13:26:22.376086   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:26:22.405846   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:26:22.423383   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:26:22.439835   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:26:28.002360   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:26:28.041206   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:26:28.161873.   'Sign up' form is closed
