worker_id = gw1
2023-03-14 13:59:00.684840.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:59:00.704007.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:59:01.032540   'Sign up' form is opened
2023-03-14 13:59:01.032587   SIGNUP_HEADER =>
2023-03-14 13:59:01.081075   SIGNUP_REF_LOGIN =>
2023-03-14 13:59:01.130937   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:59:01.163576   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:59:01.232208   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:59:01.256074   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:59:06.781368   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:59:06.801017   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:59:06.891004.   'Sign up' form is closed
