worker_id = gw1
2023-03-14 13:44:16.056671.   VIDEO_BANNER =>
2023-03-14 13:44:16.122076.   => VIDEO_BANNER IS PRESENT
2023-03-14 13:44:16.427956   'Sign up' form is opened
2023-03-14 13:44:16.428001   SIGNUP_HEADER =>
2023-03-14 13:44:16.488938   SIGNUP_REF_LOGIN =>
2023-03-14 13:44:16.608406   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:44:16.675738   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:44:16.724841   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:44:16.747061   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:44:22.292209   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:44:22.317111   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:44:22.424113.   'Sign up' form is closed
