worker_id = gw0
2023-03-14 14:05:01.272491.   VIDEO_BANNER =>
2023-03-14 14:05:01.305874.   => VIDEO_BANNER IS PRESENT
2023-03-14 14:05:02.050876   'Sign up' form is opened
2023-03-14 14:05:02.050928   SIGNUP_HEADER =>
2023-03-14 14:05:02.088997   SIGNUP_REF_LOGIN =>
2023-03-14 14:05:02.118608   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:05:02.181672   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:05:02.205737   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:05:02.226140   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:05:07.752282   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:05:07.782336   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:05:08.004253.   'Sign up' form is closed
