worker_id = gw1
2023-03-14 13:56:20.355440.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:56:20.370780.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:56:20.554344   'Sign up' form is opened
2023-03-14 13:56:20.554390   SIGNUP_HEADER =>
2023-03-14 13:56:20.591727   SIGNUP_REF_LOGIN =>
2023-03-14 13:56:20.612849   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:56:20.637371   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:56:20.667384   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:56:20.687380   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:56:26.207466   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:56:26.225113   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:56:26.327342.   'Sign up' form is closed
