worker_id = gw1
2023-03-14 13:55:08.624906.   VIDEO_BANNER =>
2023-03-14 13:55:08.636168.   => VIDEO_BANNER IS PRESENT
2023-03-14 13:55:08.767384   'Sign up' form is opened
2023-03-14 13:55:08.767430   SIGNUP_HEADER =>
2023-03-14 13:55:08.791835   SIGNUP_REF_LOGIN =>
2023-03-14 13:55:08.841270   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:55:08.867901   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:55:08.882918   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:55:08.906987   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:55:14.462595   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:55:14.491687   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:55:14.567537.   'Sign up' form is closed
