worker_id = gw1
2023-03-14 14:03:56.124748.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 14:03:56.159835.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 14:03:56.358694   'Sign up' form is opened
2023-03-14 14:03:56.358740   SIGNUP_HEADER =>
2023-03-14 14:03:56.378043   SIGNUP_REF_LOGIN =>
2023-03-14 14:03:56.402149   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:03:56.420484   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:03:56.437973   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:03:56.460318   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:04:02.055394   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:04:02.070319   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:04:02.186455.   'Sign up' form is closed
