worker_id = gw0
2023-03-14 14:01:55.465805.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 14:01:55.482155.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 14:01:56.161253   'Sign up' form is opened
2023-03-14 14:01:56.161305   SIGNUP_HEADER =>
2023-03-14 14:01:56.219218   SIGNUP_REF_LOGIN =>
2023-03-14 14:01:56.265116   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:01:56.305571   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:01:56.357476   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:01:56.376448   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:02:01.935820   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:02:01.952663   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:02:02.066763.   'Sign up' form is closed
