worker_id = gw1
2023-03-14 13:33:55.715218.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:33:55.759433.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:33:56.088075   'Sign up' form is opened
2023-03-14 13:33:56.088121   SIGNUP_HEADER =>
2023-03-14 13:33:56.128534   SIGNUP_REF_LOGIN =>
2023-03-14 13:33:56.155674   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:33:56.200750   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:33:56.214862   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:33:56.244421   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:34:01.799552   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:34:01.815655   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:34:01.896821.   'Sign up' form is closed
