worker_id = gw1
2023-03-14 13:57:33.426841.   VIDEO_BANNER =>
2023-03-14 13:57:33.441068.   => VIDEO_BANNER IS PRESENT
2023-03-14 13:57:33.665041   'Sign up' form is opened
2023-03-14 13:57:33.665088   SIGNUP_HEADER =>
2023-03-14 13:57:33.727571   SIGNUP_REF_LOGIN =>
2023-03-14 13:57:33.776299   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:57:33.803753   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:57:33.825426   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:57:33.859274   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:57:39.391554   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:57:39.409625   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:57:39.488026.   'Sign up' form is closed
