worker_id = gw0
2023-03-14 14:01:13.513088.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 14:01:13.576863.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 14:01:14.112879   'Sign up' form is opened
2023-03-14 14:01:14.112928   SIGNUP_HEADER =>
2023-03-14 14:01:14.173022   SIGNUP_REF_LOGIN =>
2023-03-14 14:01:14.208927   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:01:14.243199   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:01:14.264847   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:01:14.321465   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:01:19.877213   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:01:19.913021   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:01:20.090822.   'Sign up' form is closed
