worker_id = gw0
2023-03-14 14:11:19.645572.   Load page https://capital.com/de/zinssatze-definition
2023-03-14 14:11:23.476651   'Sign up' form is opened
2023-03-14 14:11:23.476702   SIGNUP_HEADER =>
2023-03-14 14:11:23.609333   SIGNUP_REF_LOGIN =>
2023-03-14 14:11:23.747008   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:11:24.102006   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:11:24.160179   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:11:24.192346   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:11:29.722250   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:11:29.742158   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:11:29.963032.   'Sign up' form is closed
