worker_id = gw0
2023-03-14 13:48:17.566848.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:48:17.637634.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:48:18.281698   'Sign up' form is opened
2023-03-14 13:48:18.281744   SIGNUP_HEADER =>
2023-03-14 13:48:18.361034   SIGNUP_REF_LOGIN =>
2023-03-14 13:48:18.406490   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:48:18.429574   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:48:18.465837   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:48:18.489161   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:48:24.036659   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:48:24.061261   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:48:24.196859.   'Sign up' form is closed
