worker_id = gw1
2023-03-14 13:34:41.872644.   BUT_CREATE_YOUR_ACCOUNT =>
2023-03-14 13:34:41.878835.   => BUT_CREATE_YOUR_ACCOUNT IS PRESENT
1 checking element(s) with current CSS locator is(are) present(s) on this page
2023-03-14 13:34:42.025714   'Sign up' form is opened
2023-03-14 13:34:42.025760   SIGNUP_HEADER =>
2023-03-14 13:34:42.042041   SIGNUP_REF_LOGIN =>
2023-03-14 13:34:42.066128   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:34:42.088744   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:34:42.104106   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:34:42.130139   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:34:47.704991   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:34:47.720404   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:34:47.801699.   'Sign up' form is closed
