worker_id = gw1
2023-03-14 14:10:18.760026.   VIDEO_BANNER =>
2023-03-14 14:10:18.782875.   => VIDEO_BANNER IS PRESENT
2023-03-14 14:10:19.178911   'Sign up' form is opened
2023-03-14 14:10:19.178956   SIGNUP_HEADER =>
2023-03-14 14:10:19.209663   SIGNUP_REF_LOGIN =>
2023-03-14 14:10:19.242398   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:10:19.276605   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:10:19.310419   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:10:19.345691   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:10:24.912384   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:10:24.928712   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:10:25.078328.   'Sign up' form is closed
