worker_id = gw1
2023-03-14 13:52:44.584363.   BUT_CREATE_YOUR_ACCOUNT =>
2023-03-14 13:52:44.961410.   => BUT_CREATE_YOUR_ACCOUNT IS PRESENT
1 checking element(s) with current CSS locator is(are) present(s) on this page
2023-03-14 13:52:47.403403   'Sign up' form is opened
2023-03-14 13:52:47.403452   SIGNUP_HEADER =>
2023-03-14 13:52:47.453996   SIGNUP_REF_LOGIN =>
2023-03-14 13:52:47.501684   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:52:47.555132   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:52:47.597796   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:52:47.638413   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:52:53.217488   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:52:53.238012   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:52:53.331475.   'Sign up' form is closed
