worker_id = gw1
2023-03-14 14:03:49.989247.   VIDEO_BANNER =>
2023-03-14 14:03:50.008679.   => VIDEO_BANNER IS PRESENT
2023-03-14 14:03:50.344991   'Sign up' form is opened
2023-03-14 14:03:50.345039   SIGNUP_HEADER =>
2023-03-14 14:03:50.360129   SIGNUP_REF_LOGIN =>
2023-03-14 14:03:50.382094   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:03:50.400063   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:03:50.443420   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:03:50.472152   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:03:56.004647   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:03:56.021209   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:03:56.106904.   'Sign up' form is closed
