worker_id = gw0
2023-03-14 14:09:30.898137.   VIDEO_BANNER =>
2023-03-14 14:09:30.914343.   => VIDEO_BANNER IS PRESENT
2023-03-14 14:09:31.360898   'Sign up' form is opened
2023-03-14 14:09:31.360944   SIGNUP_HEADER =>
2023-03-14 14:09:31.409554   SIGNUP_REF_LOGIN =>
2023-03-14 14:09:31.484023   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:09:31.537817   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:09:31.563478   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:09:31.589886   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:09:37.124201   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:09:37.142505   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:09:37.281229.   'Sign up' form is closed
