worker_id = gw1
2023-03-14 14:03:15.827733.   VIDEO_BANNER =>
2023-03-14 14:03:15.842117.   => VIDEO_BANNER IS PRESENT
2023-03-14 14:03:16.055679   'Sign up' form is opened
2023-03-14 14:03:16.055725   SIGNUP_HEADER =>
2023-03-14 14:03:16.095171   SIGNUP_REF_LOGIN =>
2023-03-14 14:03:16.111661   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:03:16.127094   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:03:16.154356   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:03:16.175029   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:03:21.740110   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:03:21.758175   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:03:21.893463.   'Sign up' form is closed
