worker_id = gw0
2023-03-14 14:05:46.358602.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 14:05:46.381397.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 14:05:46.968533   'Sign up' form is opened
2023-03-14 14:05:46.968575   SIGNUP_HEADER =>
2023-03-14 14:05:47.011703   SIGNUP_REF_LOGIN =>
2023-03-14 14:05:47.067314   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:05:47.111007   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:05:47.144586   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:05:47.206897   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:05:52.755669   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:05:52.777911   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:05:52.962427.   'Sign up' form is closed
