worker_id = gw1
2023-03-14 13:28:20.930775.   VIDEO_BANNER =>
2023-03-14 13:28:20.955600.   => VIDEO_BANNER IS PRESENT
2023-03-14 13:28:21.118885   'Sign up' form is opened
2023-03-14 13:28:21.118931   SIGNUP_HEADER =>
2023-03-14 13:28:21.155383   SIGNUP_REF_LOGIN =>
2023-03-14 13:28:21.184435   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:28:21.213844   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:28:21.255366   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:28:21.330465   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:28:26.860847   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:28:26.878857   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:28:26.964948.   'Sign up' form is closed
