worker_id = gw1
2023-03-14 14:05:58.370694.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 14:05:58.385365.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 14:05:58.987531   'Sign up' form is opened
2023-03-14 14:05:58.987575   SIGNUP_HEADER =>
2023-03-14 14:05:59.060519   SIGNUP_REF_LOGIN =>
2023-03-14 14:05:59.167932   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:05:59.207396   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:05:59.231701   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:05:59.254150   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:06:04.868471   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:06:04.888966   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:06:04.985989.   'Sign up' form is closed
